message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0243
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0238
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0151
msg_040,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0136
msg_075,notify,event,A verified business is sending a reminder that matches the user’s recent booking history.,0.89,message_0205
msg_005,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.82,message_0390
msg_104,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0224
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0080
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0056
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0369
msg_003,notify,business_update,A verified business is sending an update that matches the user’s recent order history.,0.87,message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0227
msg_008,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0072
msg_092,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,none
msg_060,digest,promotion,The message matches the user’s known interests but is still low priority.,0.82,message_0404
msg_004,notify,event,A verified business is sending a reminder that matches the user’s recent booking history.,0.89,message_0005
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.87,message_0115;message_0335
msg_045,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0146
msg_052,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0207;message_0208
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.78,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0197
msg_016,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.82,message_0261
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0131
msg_086,notify,event,A verified business is sending a reminder that matches the user’s recent booking history.,0.89,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.87,message_0017;message_0018
msg_094,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.82,message_0356
msg_029,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0095
msg_105,mute,forward,The message circulates an unverified claim that the user usually ignores.,0.87,message_0233;message_0373
msg_002,notify,personal,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0003
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0011
msg_078,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0211
msg_013,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.82,message_0081
msg_018,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0026
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0143
msg_032,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0119
msg_106,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0234
msg_006,notify,payment,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0029
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0151
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0094;message_0093
msg_019,mute,scam,The sender is impersonating a known brand from an unofficial domain and requesting sensitive action.,0.87,message_0277
msg_088,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0224
msg_056,notify,urgent,The sender directly asks this user for a response or action.,0.89,message_0359
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.82,message_0007
msg_050,notify,event,A verified business is sending an update that matches the user’s recent order history.,0.89,message_0279
msg_083,digest,personal,The message is safe casual chat with no urgent action required.,0.78,message_0219
msg_063,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0182
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0121
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0080
msg_020,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.87,message_0096
msg_017,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0090
msg_058,mute,forward,The message circulates an unverified claim that the user usually ignores.,0.85,message_0241
msg_026,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0032
msg_047,notify,payment,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0148
msg_042,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0058
msg_079,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0369
msg_098,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.89,message_0168
msg_037,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_007,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0070
msg_085,mute,scam,The sender is impersonating a known brand from an unofficial domain and requesting sensitive action.,0.87,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0057
msg_021,notify,payment,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0029
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.85,message_0034
msg_012,mute,forward,The message circulates an unverified claim that the user usually ignores.,0.85,message_0079
msg_064,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0087
msg_103,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0065
msg_031,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0227
msg_057,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0003
msg_087,mute,spam,The message is an unsolicited bulk sales call rather than something the user asked for.,0.85,message_0164
msg_067,notify,payment,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0068
msg_039,notify,payment,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0364
msg_082,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.87,message_0402;message_0257
msg_049,notify,event,A verified business is sending a reminder that matches the user’s recent booking history.,0.89,message_0154
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0023
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.87,message_0257;message_0157
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0054
msg_089,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_053,digest,forward,The message is widely circulated content with no specific relevance or action for this user.,0.78,message_0411
msg_059,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0174
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.87,message_0257;message_0157
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0023
msg_036,mute,scam,The sender is impersonating a known brand from an unofficial domain and requesting sensitive action.,0.87,message_0283
msg_076,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0207;message_0208
msg_055,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0166
msg_102,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.89,message_0230
msg_080,notify,personal,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.87,message_0130
msg_093,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.8,none
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.81,message_0013
msg_035,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0281
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0268
msg_041,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0137
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0014
msg_110,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0238
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0087
msg_074,mute,forward,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0203
msg_073,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0087
msg_054,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0389
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0191
msg_100,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.89,message_0362
msg_062,digest,forward,The message is widely circulated content with no specific relevance or action for this user.,0.82,message_0410
msg_096,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_043,digest,forward,The message is widely circulated content with no specific relevance or action for this user.,0.82,message_0029
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0403
msg_081,notify,urgent,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user’s recent order history.,0.87,message_0004
msg_084,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.85,message_0220
msg_022,mute,scam,The message pressures the user to pay or scan a code through an unverified channel.,0.87,message_0151
